Date,Open_PSA,High_PSA,Low_PSA,Close_PSA,Volume_PSA,AdjClose_PSA
2015-06-05,191.380005,191.380005,187.949997,188.199997,821300,183.683693
2015-06-08,188.199997,188.690002,186.940002,186.940002,842800,182.453935
2015-06-09,187.550003,188.229996,185.669998,185.940002,596500,181.477932
2015-06-10,186.240005,188.929993,185.729996,187.229996,579400,182.736969
2015-06-11,186.210007,187.529999,186.020004,186.869995,646700,184.056801
2015-06-12,186.649994,187.330002,185.710007,186.720001,419400,183.909065
2015-06-15,186.25,186.25,184.580002,185.600006,599200,182.805931
2015-06-16,185.600006,188.149994,185.380005,187.639999,518800,184.815213
2015-06-17,187.679993,189.080002,185.830002,188.869995,777600,186.026692
2015-06-18,189.259995,193.229996,189.220001,192.460007,945500,189.562659
2015-06-19,192.149994,192.539993,190.240005,191.020004,1254900,188.144335
2015-06-22,191.160004,191.75,188.100006,188.339996,812200,185.504672
2015-06-23,188.089996,188.740005,186.389999,186.679993,491500,183.869659
2015-06-24,186.800003,187.960007,184.960007,184.960007,493700,182.175566
2015-06-25,184.880005,186.169998,183.449997,183.619995,483100,180.855727
2015-06-26,183.770004,185.649994,183.070007,185.449997,634500,182.65818
2015-06-29,185.429993,186.190002,182.910004,182.979996,761500,180.225363
2015-06-30,184.160004,185.970001,183.009995,184.369995,801800,181.594437
2015-07-01,183.360001,187.089996,182.080002,187.070007,900900,184.253802
2015-07-02,188.800003,189.690002,186.770004,187.240005,604900,184.421241
2015-07-06,186.330002,188.479996,185.990005,188.380005,567600,185.544079
2015-07-07,189.100006,193.070007,188.380005,192.679993,908600,189.779333
2015-07-08,191.809998,194.520004,191.020004,193.279999,799700,190.370306
2015-07-09,194.389999,195.289993,193.169998,193.729996,611200,190.813529
2015-07-10,194.610001,197.75,193.899994,196.130005,718800,193.177408
2015-07-13,197.25,198.830002,195.460007,196.699997,681200,193.738819
2015-07-14,197.089996,198.130005,196.009995,197.679993,546800,194.704062
2015-07-15,197.089996,199.320007,196.009995,198.75,445500,195.757961
2015-07-16,199.339996,200.580002,199.050003,200.190002,427400,197.176285
2015-07-17,199.490005,199.669998,197.490005,198.399994,464300,195.413224
2015-07-20,198.399994,200.75,197.309998,200.139999,426400,197.127035
2015-07-21,200.460007,201.509995,199.610001,200.830002,660700,197.80665
2015-07-22,200.889999,202.059998,200.860001,201.490005,679400,198.456717
2015-07-23,201.149994,202.080002,199.529999,201.100006,572600,198.072589
2015-07-24,200.899994,203.039993,200.289993,201.929993,435100,198.890081
2015-07-27,201.820007,203.559998,201.449997,202.919998,504600,199.865183
2015-07-28,203.240005,203.910004,202.100006,203.410004,436800,200.347811
2015-07-29,203.289993,203.330002,201.929993,202.929993,689900,199.875027
2015-07-30,203.0,203.429993,200.320007,203.020004,561800,199.963683
2015-07-31,204.25,206.729996,203.399994,205.179993,618900,202.091154
2015-08-03,205.179993,206.210007,204.789993,205.520004,496200,202.426047
2015-08-04,201.919998,207.339996,201.550003,205.380005,466100,202.288156
2015-08-05,206.360001,206.919998,205.089996,205.630005,595900,202.534392
2015-08-06,205.630005,207.75,204.490005,207.490005,528300,204.366392
2015-08-07,207.970001,209.570007,207.199997,208.809998,574000,205.666512
2015-08-10,210.0,210.940002,206.860001,207.449997,494500,204.326985
2015-08-11,207.240005,210.5,207.240005,209.100006,547700,205.952155
2015-08-12,208.649994,210.589996,208.270004,210.529999,490000,207.36062
2015-08-13,210.070007,213.339996,209.289993,212.550003,739300,209.350215
2015-08-14,212.210007,213.970001,210.850006,213.729996,465900,210.512443
2015-08-17,213.990005,215.460007,213.039993,215.350006,368800,212.108066
2015-08-18,215.350006,217.059998,214.800003,216.850006,537400,213.585484
2015-08-19,215.660004,217.990005,215.110001,216.860001,553100,213.595328
2015-08-20,215.800003,217.380005,215.039993,215.309998,515300,212.068659
2015-08-21,214.820007,215.740005,212.5,212.509995,784700,209.310808
2015-08-24,206.0,210.0,201.089996,202.210007,1494700,199.16588
2015-08-25,207.229996,211.100006,196.610001,196.960007,1017000,193.994915
2015-08-26,200.259995,203.679993,198.350006,203.199997,783200,200.140966
2015-08-27,204.220001,210.869995,203.309998,208.009995,876700,204.878553
2015-08-28,207.720001,207.919998,205.580002,206.160004,979100,203.056412
2015-08-31,205.940002,206.949997,201.050003,201.270004,1182500,198.240028
2015-09-01,199.410004,202.039993,197.380005,199.0,1045100,196.004197
2015-09-02,198.820007,203.100006,198.820007,202.350006,623500,199.303771
2015-09-03,203.440002,204.610001,202.339996,203.25,710300,200.190216
2015-09-04,202.210007,202.929993,198.600006,199.550003,622600,196.54592
2015-09-08,202.5,204.419998,201.279999,203.880005,505600,200.810737
2015-09-09,205.990005,206.360001,199.869995,200.240005,795200,197.225535
2015-09-10,200.0,202.339996,199.130005,200.210007,654400,197.195988
2015-09-11,198.559998,202.240005,198.559998,202.190002,594200,200.851627
2015-09-14,202.210007,202.539993,201.009995,201.679993,375200,200.344993
2015-09-15,202.130005,204.479996,200.740005,203.919998,411400,202.570171
2015-09-16,203.869995,206.080002,203.039993,205.470001,378200,204.109914
2015-09-17,205.399994,210.679993,204.130005,207.410004,679600,206.037075
2015-09-18,205.419998,210.75,205.039993,206.970001,1148400,205.599985
2015-09-21,207.339996,210.100006,206.380005,209.520004,485300,208.133109
2015-09-22,209.270004,209.770004,206.559998,207.240005,448800,205.868202
2015-09-23,207.179993,209.220001,206.369995,208.399994,644000,207.020512
2015-09-24,208.5,208.970001,204.630005,205.660004,646000,204.298659
2015-09-25,206.25,210.259995,205.669998,209.259995,606300,207.87482
2015-09-28,209.050003,209.330002,205.820007,207.169998,642200,205.798658
2015-09-29,206.970001,209.820007,206.639999,209.259995,881700,207.87482
2015-09-30,211.059998,212.110001,209.520004,211.630005,706100,210.229143
2015-10-01,212.720001,214.070007,211.039993,213.949997,590000,212.533778
2015-10-02,213.229996,216.389999,210.869995,216.210007,626600,214.778828
2015-10-05,217.509995,220.360001,216.220001,220.110001,673200,218.653006
2015-10-06,220.080002,220.509995,216.710007,217.149994,474900,215.712593
2015-10-07,217.330002,218.910004,214.990005,217.089996,894700,215.652992
2015-10-08,217.020004,218.940002,215.389999,218.759995,549300,217.311936
2015-10-09,218.919998,218.919998,215.639999,217.179993,670500,215.742393
2015-10-12,217.320007,219.979996,217.320007,219.270004,423400,217.81857
2015-10-13,218.169998,219.460007,216.130005,217.059998,416200,215.623192
2015-10-14,217.639999,218.550003,216.389999,217.050003,664800,215.613264
2015-10-15,217.919998,219.570007,217.25,219.570007,457800,218.116587
2015-10-16,220.75,222.199997,219.960007,221.309998,526700,219.84506
2015-10-19,221.369995,225.919998,221.369995,225.919998,642700,224.424545
2015-10-20,225.880005,227.990005,225.119995,227.139999,589400,225.63647
2015-10-21,228.119995,228.979996,227.130005,227.429993,567400,225.924544
2015-10-22,228.869995,231.139999,227.899994,230.029999,685600,228.50734
2015-10-23,229.5,231.300003,228.380005,229.899994,615800,228.378195
2015-10-26,230.619995,231.570007,228.770004,230.610001,472400,229.083502
2015-10-27,230.25,232.990005,229.889999,232.940002,610400,231.398081
2015-10-28,233.089996,233.720001,227.179993,231.600006,807900,230.066954
2015-10-29,228.479996,230.020004,226.729996,228.899994,815500,227.384815
2015-10-30,229.639999,229.770004,227.199997,229.460007,1062500,227.941121
2015-11-02,229.289993,235.330002,228.570007,235.259995,919900,233.702716
2015-11-03,234.630005,235.220001,230.869995,233.660004,788100,232.113316
2015-11-04,233.679993,234.210007,230.899994,231.649994,493700,230.116611
2015-11-05,231.029999,232.25,230.449997,232.100006,461000,230.563645
2015-11-06,229.360001,231.309998,225.070007,227.149994,772400,225.646399
2015-11-09,226.800003,227.880005,222.699997,227.110001,816200,225.60667
2015-11-10,227.300003,229.990005,226.690002,229.369995,680300,227.851705
2015-11-11,228.460007,230.380005,228.460007,228.839996,502600,227.325214
2015-11-12,228.619995,230.119995,227.460007,228.429993,507200,226.917925
2015-11-13,228.210007,230.0,225.649994,226.259995,666900,224.76229
2015-11-16,226.259995,229.330002,225.850006,229.330002,553100,227.811976
2015-11-17,229.330002,232.929993,228.929993,231.410004,503800,229.87821
2015-11-18,232.729996,233.75,229.25,232.729996,591400,231.189464
2015-11-19,233.080002,235.0,232.559998,234.309998,641600,232.759007
2015-11-20,235.649994,237.550003,235.0,236.679993,789100,235.113315
2015-11-23,236.949997,238.0,236.309998,237.039993,459500,235.470932
2015-11-24,236.139999,238.149994,235.240005,237.830002,761700,236.255711
2015-11-25,238.0,240.740005,238.0,239.339996,573500,237.755711
2015-11-27,239.119995,242.580002,239.009995,240.800003,291900,239.206053
2015-11-30,241.380005,242.589996,238.75,240.059998,1175700,238.470946
2015-12-01,241.899994,243.139999,240.449997,243.110001,687800,241.50076
2015-12-02,242.0,244.190002,239.949997,240.149994,818900,238.560347
2015-12-03,239.380005,242.070007,235.419998,236.830002,1246400,235.262331
2015-12-04,238.160004,242.860001,238.160004,241.899994,1056200,240.298763
2015-12-07,242.490005,243.869995,241.559998,243.149994,684400,241.540488
2015-12-08,242.869995,246.75,240.910004,246.199997,1301800,244.570302
2015-12-09,246.820007,246.820007,242.020004,242.759995,830300,241.15307
2015-12-10,243.179993,244.330002,240.639999,240.899994,755400,239.305382
2015-12-11,239.0,242.089996,237.820007,241.970001,913800,240.368306
2015-12-14,241.710007,249.559998,241.710007,249.089996,1148500,247.441172
2015-12-15,250.850006,251.740005,246.660004,246.809998,953500,245.176265
2015-12-16,247.910004,250.720001,247.210007,249.839996,1051700,248.186207
2015-12-17,248.380005,249.880005,246.690002,247.559998,901100,245.9213
2015-12-18,247.020004,249.740005,245.660004,248.740005,1734900,247.093497
2015-12-21,250.509995,251.460007,249.25,250.639999,722700,248.980915
2015-12-22,251.699997,252.860001,248.210007,248.490005,1020600,246.845152
2015-12-23,248.880005,249.949997,246.740005,248.630005,819500,246.984225
2015-12-24,249.169998,249.529999,247.380005,248.25,310800,246.606735
2015-12-28,247.800003,251.800003,247.020004,251.169998,509600,249.507405
2015-12-29,252.729996,253.929993,251.130005,252.210007,689300,250.540529
2015-12-30,252.190002,252.449997,249.910004,250.460007,516300,248.802113
2015-12-31,250.5,250.839996,247.660004,247.699997,517900,246.060373
2016-01-04,243.919998,246.479996,242.149994,244.369995,1220900,242.752414
2016-01-05,244.800003,252.270004,244.360001,251.270004,776000,249.606749
2016-01-06,250.0,253.800003,249.639999,251.669998,589800,250.004095
2016-01-07,248.479996,251.880005,248.389999,249.050003,633700,247.401443
2016-01-08,250.199997,251.389999,246.800003,247.229996,600600,245.593483
2016-01-11,248.199997,251.470001,248.089996,249.669998,818100,248.017334
2016-01-12,250.119995,251.270004,248.0,250.169998,856000,248.514024
2016-01-13,250.490005,254.660004,248.910004,249.350006,849400,247.69946
2016-01-14,249.770004,251.660004,246.429993,249.729996,1070400,248.076935
2016-01-15,247.740005,253.380005,246.300003,248.550003,1273900,246.904753
2016-01-19,250.119995,252.779999,247.820007,250.440002,901600,248.782241
2016-01-20,248.740005,249.910004,239.509995,240.289993,1336500,238.699419
2016-01-21,241.210007,244.669998,240.130005,241.059998,748700,239.464326
2016-01-22,242.789993,249.220001,242.600006,247.729996,778500,246.090173
2016-01-25,247.979996,251.490005,246.380005,247.509995,918000,245.871628
2016-01-26,246.850006,253.539993,246.380005,253.470001,983600,251.792183
2016-01-27,253.020004,253.919998,246.970001,248.179993,978900,246.537192
2016-01-28,248.910004,252.529999,247.479996,249.059998,736700,247.411371
2016-01-29,251.789993,255.970001,249.070007,253.559998,978900,251.881584
2016-02-01,253.139999,256.459991,251.630005,254.080002,675800,252.398146
2016-02-02,254.039993,256.119995,251.850006,255.220001,774600,253.5306
2016-02-03,256.23999,257.980011,250.139999,253.110001,708600,251.434566
2016-02-04,252.710007,252.839996,245.600006,246.220001,930500,244.590174
2016-02-05,245.75,245.75,236.729996,237.130005,1188600,235.560348
2016-02-08,235.0,235.960007,224.710007,228.979996,1418200,227.464287
2016-02-09,228.119995,235.330002,225.949997,232.919998,1061000,231.378209
2016-02-10,235.320007,238.910004,234.619995,235.869995,856000,234.308679
2016-02-11,234.720001,236.919998,230.940002,234.830002,1388100,233.27557
2016-02-12,237.169998,237.509995,229.839996,233.610001,1040700,232.063644
2016-02-16,236.220001,239.369995,234.059998,238.179993,838400,236.603386
2016-02-17,242.960007,249.449997,242.350006,246.110001,1093900,244.480902
2016-02-18,245.5,247.789993,244.589996,246.720001,528300,245.086864
2016-02-19,246.289993,254.320007,244.059998,251.970001,1084800,250.302113
2016-02-22,253.330002,254.949997,251.720001,253.639999,520100,251.961056
2016-02-23,253.330002,256.790009,253.110001,253.720001,521200,252.040529
2016-02-24,252.460007,254.440002,247.850006,249.919998,589800,248.265679
2016-02-25,251.25,255.25,250.259995,255.100006,756000,253.411399
